Name
"United Air Lines Inc.: UA"
"SkyWest Airlines Inc.: OO"
"Alaska Airlines Inc.: AS"
"Endeavor Air Inc.: 9E"
"American Airlines Inc.: AA"
"JetBlue Airways: B6"
"ExpressJet Airlines LLC: EV"
"Envoy Air: MQ"
"Allegiant Air: G4"
"PSA Airlines Inc.: OH"
"Republic Airline: YX"
"Frontier Airlines Inc.: F9"
"Southwest Airlines Co.: WN"
"Mesa Airlines Inc.: YV"
"Spirit Air Lines: NK"
"Delta Air Lines Inc.: DL"
"Hawaiian Airlines Inc.: HA"
